Trat,Altura ,Hojas,Dm,Long,Pesomazorca,,,,,,,
Dolomita,3,4,0.830,9,55.5,,,,,,,
Dolomita,8,5,0.940,17,164.6,,,,,,,
Dolomita,10,6,1.040,12,149.9,,,,,,,
CaCO3,9,6,1.020,18,219.8,,,,,,,
CaCO3,6,5,0.740,16.5,179.1,,,,,,,
CaCO3,6,5,0.760,14.5,189,,,,,,,
MgO,9,6,1.240,18.5,202.7,,,,,,,
MgO ,7,5,0.760,18,172.4,,,,,,,
MgO ,10,6,1.320,13,118.9,,,,,,,
Control,6,4,0.820,19,214.6,,,,,,,
Control,5,5,0.950,15.5,168.7,,,,,,,
Control,6,5,1.230,12.5,111.4,,,,,,,
CaCO3,6,4,0.940,8,13,,,,,,,
CaCO3,5,4,1.230,15.5,250.2,,,,,,,
CaCO3,6,4,1.140,15,197.8,,,,,,,
Control,1,2,0.510,20,263.2,,,,,,,
Control,5,5,0.950,18,221.3,,,,,,,
Control,8,5,0.980,16.5,132.9,,,,,,,
Dolomita,7,5,1.050,15.5,116,,,,,,,
Dolomita,4,4,0.670,16,178.2,,,,,,,
Dolomita,5,5,0.760,15.5,143.5,,,,,,,
MgO,6,4,1.380,13.5,108.9,,,,,,,
MgO,6,4,0.930,13.5,158.7,,,,,,,
MgO,6,5,0.840,16,141.5,,,,,,,
Control,6,4,0.890,11,120.3,,,,,,,
Control,7,4,0.880,14,157.8,,,,,,,
Control,5,4,0.620,12,184.5,,,,,,,
MgO,7,4,0.960,17,182.1,,,,,,,
MgO,9,4,1.090,11.5,112.3,,,,,,,
MgO,6,5,0.860,14,179.9,,,,,,,
CaCO3,12,5,1.070,16.5,184.8,,,,,,,
CaCO3,5,4,0.740,5.5,28.5,,,,,,,
CaCO3,7,4,0.810,14,150.7,,,,,,,
Dolomita,12,4,1.400,17,180.6,,,,,,,
Dolomita,5,5,1.520,9,84.8,,,,,,,
Dolomita,7,4,0.660,14,200.7,,,,,,,
Dolomita,13.5,8,0.724,9,55.5,,,,,,,
Dolomita,22,7,1.024,17,164.6,,,,,,,
Dolomita,22.5,7,1.222,12,149.9,,,,,,,
CaCO3,17,5,1.112,18,219.8,,,,,,,
CaCO3,16.5,8,1.211,16.5,179.1,,,,,,,
CaCO3,15.8,7,0.925,14.5,189,,,,,,,
MgO,23.5,11,0.815,18.5,202.7,,,,,,,
MgO,15.8,7,1.165,18,172.4,,,,,,,
MgO,24,9,1.211,13,118.9,,,,,,,
Control,18,8,1.123,19,214.6,,,,,,,
Control,21,8,0.911,15.5,168.7,,,,,,,
Control,19,9,1.136,12.5,111.4,,,,,,,
CaCO3,18,8,0.923,8,13,,,,,,,
CaCO3,13,7,0.924,15.5,250.2,,,,,,,
CaCO3,20,9,1.200,15,197.8,,,,,,,
Control,7,5,0.412,20,263.2,,,,,,,
Control,13,2,0.637,18,221.3,,,,,,,
Control,23,8,1.123,16.5,132.9,,,,,,,
Dolomita,19.5,8,1.025,15.5,116,,,,,,,
Dolomita,17,6,0.815,16,178.2,,,,,,,
Dolomita,20.8,9,0.924,15.5,143.5,,,,,,,
MgO,19,8,1.047,13.5,108.9,,,,,,,
MgO,18,7,1.025,13.5,158.7,,,,,,,
MgO,17,7,0.900,16,141.5,,,,,,,
Control,19,6,0.848,11,120.3,,,,,,,
Control,23,8,0.930,14,157.8,,,,,,,
Control,17,7,0.725,12,184.5,,,,,,,
MgO,17,7,0.825,17,182.1,,,,,,,
MgO,24,8,1.200,11.5,112.3,,,,,,,
MgO,22,8,0.936,14,179.9,,,,,,,
CaCO3,24,8,0.735,16.5,184.8,,,,,,,
CaCO3,20,7,0.948,5.5,28.5,,,,,,,
CaCO3,25,9,0.735,14,150.7,,,,,,,
Dolomita,28,9,0.820,17,180.6,,,,,,,
Dolomita,23,10,0.930,9,84.8,,,,,,,
Dolomita,20,8,1.036,14,200.7,,,,,,,
Dolomita,24,8,0.740,9,55.5,,,,,,,
Dolomita,34,9,1.200,17,164.6,,,,,,,
Dolomita,45,8,1.450,12,149.9,,,,,,,
CaCO3,21,8,1.100,18,219.8,,,,,,,
CaCO3,32,8,1.160,16.5,179.1,,,,,,,
CaCO3,30,7,0.970,14.5,189,,,,,,,
MgO,44,10,1.620,18.5,202.7,,,,,,,
MgO,33,8,1.140,18,172.4,,,,,,,
MgO,36,9,1.300,13,118.9,,,,,,,
Control,27,7,1.200,19,214.6,,,,,,,
Control,29,8,0.970,15.5,168.7,,,,,,,
Control,38.5,8,1.260,12.5,111.4,,,,,,,
CaCO3,34.5,8,1.000,8,13,,,,,,,
CaCO3,33,7,0.850,15.5,250.2,,,,,,,
CaCO3,32,8,0.900,15,197.8,,,,,,,
Control,19,6,0.470,20,263.2,,,,,,,
